time,WOB,WOB_0,WOB_SP,RPM,RPM_0,RPM_SP,ROP,T,MSE,dMSEdWOB,dMSEdRPM
[s],[kg],[kg],[kg],[rpm],[rpm],[rpm],[m/hr],[Nm],[MPa],[MPa/kg],[MPa/rpm]
124,7894.92187298186,8000,7800,61.4732537758418,60,62,11.6130777497417,6967.61235090542,183.880986521788,0,0
125,7871.19140473639,8000,7800,61.6488358505612,60,62,11.6001230679482,6941.74290724156,183.923388183266,0,0
126,7853.3935535523,8000,7800,61.7658905670408,60,62,11.5874896551388,6922.34082449367,183.955427400674,0,0
127,7840.04516516422,8000,7800,61.8439270446939,60,62,11.576102502927,6907.78926243276,183.979591909869,0,0
128,7830.03387387317,8000,7800,61.8959513631292,60,62,11.5663038312175,6896.87559088707,183.997791811036,0,0
129,7822.52540540487,8000,7800,61.9306342420862,60,62,11.5581241661612,6888.6903372278,184.011485003453,0,0
130,7816.89405405366,8000,7800,61.9537561613908,60,62,11.5514397483993,6882.55139698335,184.021779330469,0,0
131,7812.67054054024,8000,7800,61.9691707742605,60,62,11.5460620417046,6877.94719180001,184.029513859507,0,0
132,7809.50290540518,8000,7800,61.9794471828403,60,62,11.5417868590714,6874.49403791251,184.035322526755,0,0
133,7807.12717905389,8000,7800,61.9862981218936,60,62,11.53841971684,6871.90417249688,184.03968340531,0,0
134,7805.34538429041,8000,7800,61.9908654145957,60,62,11.5357874465713,6869.96177343516,184.042956529974,0,0
135,7804.00903821781,8000,7800,61.9939102763971,60,62,11.5337420964276,6868.50497413887,184.045412761748,0,0
136,7803.00677866336,8000,7800,61.9959401842648,60,62,11.5321607163356,6867.41237466665,184.047255717028,0,0
137,7802.25508399752,8000,7800,61.9972934561765,60,62,11.5309431350158,6866.59292506249,184.048638373283,0,0
138,7801.69131299814,8000,7800,61.998195637451,60,62,11.530008934228,6865.97833785937,184.049675612958,0,0
139,7801.2684847486,8000,7800,61.998797091634,60,62,11.5292942817899,6865.51739745703,184.050453681963,0,0
140,7800.95136356145,8000,7800,61.9991980610893,60,62,11.5287489619055,6865.17169215527,184.051037312063,0,0
141,7800.71352267109,8000,7800,61.9994653740596,60,62,11.5283337536262,6864.91241317895,184.051475078714,0,0
142,7800.53514200332,8000,7800,61.9996435827064,60,62,11.5280182028415,6864.71795394672,184.051803428498,0,0
143,7800.40135650249,8000,7800,61.9997623884709,60,62,11.5277787772041,6864.57210952254,184.052049704786,0,0
144,7800.30101737687,8000,7800,61.9998415923139,60,62,11.5275973665272,6864.4627262044,184.052234419849,0,0
145,7800.22576303265,8000,7800,61.999894394876,60,62,11.5274600810124,6864.3806887158,184.05237296056,0,0
146,7800.16932227449,8000,7800,61.999929596584,60,62,11.5273562986008,6864.31916059935,184.052476868576,0,0
147,7800.12699170587,8000,7800,61.9999530643893,60,62,11.5272779163064,6864.27301451201,184.052554800985,0,0
148,7800.0952437794,8000,7800,61.9999687095929,60,62,11.5272187659441,6864.23840494651,184.052613251077,0,0
149,7800.07143283455,8000,7800,61.9999791397286,60,58,11.5271741607526,6864.21244777238,184.052657089089,0,0
150,7800.05357462591,8000,7800,60.6666527598191,60,58,11.2792449940489,6864.19297989179,184.052689967846,0,0
151,7800.04018096943,8000,7800,59.777768506546,60,58,11.113956912279,6864.17837898134,184.052714627053,0,0
152,7800.03013572708,8000,7800,59.185179004364,60,58,11.0037631921121,6864.16742829851,184.052733121538,0,0
153,7800.02260179531,8000,7800,58.7901193362427,60,58,10.9302993689215,6864.15921528638,184.052746992445,0,0
154,7800.01695134648,8000,7800,58.5267462241618,60,58,10.8813224325654,6864.15305552728,184.052757395651,0,0
155,7800.01271350986,8000,7800,58.3511641494412,60,58,10.8486703275298,6864.14843570796,184.052765198069,0,0
156,7800.0095351324,8000,7800,58.2341094329608,60,58,10.8269016351775,6864.14497084347,184.052771049891,0,0
157,7800.0071513493,8000,7800,58.1560729553072,60,58,10.8123887009981,6864.14237219511,184.052775438761,0,0
158,7800.00536351197,8000,7800,58.1040486368715,60,58,10.8027130541541,6864.14042320883,184.052778730417,0,0
159,7800.00402263398,8000,7800,58.0693657579143,60,58,10.7962623534153,6864.13896146912,184.05278119916,0,0
160,7800.00301697548,8000,7800,58.0462438386095,60,58,10.7919616833909,6864.13786516434,184.052783050718,0,0
161,7800.00226273161,8000,7800,58.0308292257397,60,58,10.7890944175259,6864.13704293576,184.052784439387,0,0
162,7800.00169704871,8000,7800,58.0205528171598,60,58,10.7871827923793,6864.13642626432,184.052785480888,0,0
163,7800.00127278653,8000,7800,58.0137018781065,60,58,10.7859082895959,6864.13596376074,184.052786262015,0,0
164,7800.0009545899,8000,7800,58.0091345854044,60,58,10.7850585565134,6864.13561688306,184.05278684786,0,0
165,7800.00071594242,8000,7800,58.0060897236029,60,58,10.7844920193489,6864.13535672479,184.052787287244,0,0
166,7800.00053695682,8000,7800,58.0040598157353,60,58,10.7841142915621,6864.13516160609,184.052787616782,0,0
167,7800.00040271761,8000,7800,58.0027065438235,60,58,10.7838624457741,6864.13501526707,184.052787863935,0,0
168,7800.00030203821,8000,7800,58.001804362549,60,58,10.7836945281316,6864.1349055128,184.0527880493,0,0
169,7800.00022652866,8000,7800,58.001202908366,60,58,10.7835825676973,6864.1348231971,184.052788188324,0,0
170,7800.00016989649,8000,7800,58.0008019389107,60,58,10.7835079159026,6864.13476146033,184.052788292592,0,0
171,7800.00012742237,8000,7800,58.0005346259404,60,58,10.7834581394102,6864.13471515775,184.052788370793,0,0
172,7800.00009556678,8000,7800,58.0003564172936,60,58,10.7834249486098,6864.13468043081,184.052788429444,0,0
173,7800.00007167508,8000,7800,58.0002376115291,60,58,10.7834028165554,6864.13465438561,184.052788473432,0,0
174,7800.00005375631,8000,7800,58.0001584076861,60,58,10.7833880582117,6864.13463485171,184.052788506423,0,0
175,7800.00004031723,8000,7800,58.000105605124,60,58,10.7833782165855,6864.13462020128,184.052788531166,0,0
176,7800.00003023793,8000,7800,58.000070403416,60,58,10.7833716534533,6864.13460921346,184.052788549723,0,0
177,7800.00002267844,8000,7800,58.0000469356107,60,58,10.783367276496,6864.1346009726,184.052788563641,0,0
178,7800.00001700883,8000,7800,58.0000312904071,60,58,10.7833643573725,6864.13459479195,184.05278857408,0,0
179,7800.00001275663,8000,8200,58.0000208602714,60,62,10.7833624104262,6864.13459015646,184.052788581909,0,0
180,7900.00000956747,8002.5,8202.5,59.3333472401809,60.0104708483261,62.0104708483261,11.2183217859832,6973.14821167985,183.87195963025,-0.00171587319904344,-0.00235424163063583
181,7975.6250071756,8005,8205,60.2257217762293,60.0209085881114,62.0209085881114,11.5306429377745,7055.58976297863,183.739444918773,-0.00171569579416716,-0.00218869892631843
182,8032.9687553817,8007.5,8207.5,60.82411738019,60.0312879098243,62.0312879098243,11.7551767088662,7118.10226160898,183.641303819464,-0.00171560392693061,-0.00189660856458195
183,8076.60156653628,8010,8210,61.2265075567348,60.0416104655427,62.0416104655427,11.9171717775517,7165.66797073798,183.567941828941,-0.00171558317274298,-0.0016127785917901
